dataset_id,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Hansen_GFC,,,,,,,,,,,,,,,,1792292.5958279998,1776886.4813659992,1762299.3194809996,1750471.022487,1733433.1570380002,1717824.5978400004,1701726.7760210005,1683487.9157790006,1665544.8422760004,1653156.816705,1638859.430206,1624995.395569,1608565.3951599996,1595976.2746949997,1582274.3351009998,1569405.9118730007,1553014.1431250002,1535264.5080969995,1519236.7378129996,1505542.6558230002,1491196.6089580003,1475780.8749129998,
LCMAP_trees,2113090.389563,2116741.5341839995,2118828.9342869995,2118767.993641,2120269.3290780005,2122962.75293,2127434.969171,2130669.105243,2133136.5234620003,2135389.6207949994,2137517.3481729995,2135042.351653999,2131868.2604380003,2125432.233745,2119958.359203,2111446.502585,2108186.7589290002,2106480.1270990004,2106174.68934,2104043.600952,2102122.855488,2092840.3854959998,2088968.3511849998,2084350.062554,2085035.1026509998,2086567.8449300001,2077412.2117729997,2074055.4659390002,2070742.1801969998,2068555.1800259994,2067708.7646359995,2063249.378324,2062024.8826579996,2058234.7582069996,2058593.5083599999,2058610.9751360007,2052313.9766429998,
LCMAP_trees_woodywet,2299723.677099,2304265.916169,2306869.6409040005,2307191.317596,2308965.8040799997,2311769.522459,2316436.498759,2319879.296886001,2322430.833617999,2324737.8364089997,2326910.995633,2324281.1320489994,2320969.028313,2314157.263603,2308473.464547,2300248.4115140005,2297062.944364,2295353.944055999,2294873.458366,2292070.6522060004,2289340.7414070005,2278152.187992,2272843.018862999,2267272.066127,2267072.2849639994,2267757.3942859997,2256772.1556359995,2252491.321176,2248363.2150689997,2245456.6694259997,2243717.9940729993,2238347.166648,2236179.1245750003,2231504.770714,2230755.362805,2229777.9036930003,2222402.5689629996,
LCMS_all_trees_mixes,2927728.324946,2962606.237391999,2978942.1619509994,2986921.323198,2998623.332069001,3012524.816723,3026590.0249399994,3038569.1507849996,3050419.3813879993,3060876.1660619993,3072975.2502240003,3075467.141966001,3078669.5690459996,3078445.2196229994,3075194.666113,3066607.8851250005,3067603.0630779997,3071190.481941001,3081190.1946280003,3087987.3301150003,3095871.3647719994,3087154.478286001,3089586.460635,3093265.439917001,3100877.924104001,3111790.4200879997,3104318.3954079994,3107815.640775999,3113977.683094,3122511.642809,3132774.822673,3131039.9646,3127810.812013,3115646.6398489987,3122938.074586001,3125069.7173250006,3124502.23291,3120815.709226
LCMS_forest,2859611.8314769994,2923247.3078949996,2931193.4435940003,2933083.934690999,2941216.876727001,2948368.524775999,2956702.722487999,2963590.6586500006,2970142.0181030007,2975486.9041080005,2984506.349580999,2983693.5523780007,2985842.5102720005,2984677.47124,2983161.215218,2973937.9756429996,2973602.4561379994,2975010.6436349996,2980564.443071001,2984278.8640850005,2989838.2181750005,2983692.4755,2988649.1578269997,2990251.112572,2994211.573818,3003339.3906510007,2996927.4788430003,3001518.8107779995,3009186.2128450004,3017171.8384229993,3028626.6129560005,3030946.463807,3031831.088444,3027905.2848489997,3039221.8197269994,3041905.0310770003,3049841.9815699994,3084965.8880119994
LCMS_trees,2646763.9230489996,2672231.3096930003,2685256.8676500004,2691762.399454001,2701096.7017959994,2713247.865864,2725009.3854360003,2735593.110684001,2743768.583019,2752293.2689879998,2760942.3039080002,2761055.982715,2760049.3123270003,2755875.7232669997,2750102.630416001,2739082.7668190002,2735278.8910350003,2735236.887096,2740061.6026810003,2742229.2904950003,2745111.583135,2737132.508545,2736182.144533,2734792.133337001,2738330.2983990004,2744898.574687,2735747.459675,2733461.2620759993,2731508.264257,2734842.343764,2740566.2398060006,2737469.4259999995,2737473.2955190004,2732667.037694,2736664.387296001,2743079.888569001,2746966.4880700004,2750255.2068209993
LCMS_trees_shrubs_mix,2658069.5289459997,2684164.8076899997,2697233.1983570005,2703728.7798500005,2713132.145369001,2725341.380150001,2737197.022544,2747864.5809929995,2756577.1345800003,2765202.5925430004,2774012.1595899994,2774328.5355029996,2773578.4586939993,2769601.4682089994,2763938.438164,2753047.7902929992,2749408.879006001,2749291.4515069993,2754409.989094,2756915.1489480007,2760177.101097,2752334.0074809985,2751606.449213,2750552.150552001,2754344.5457520005,2761163.708625,2752321.219765,2750271.5663619996,2748791.9926969996,2752574.340506,2758500.89941,2755607.372209,2755761.5273519997,2750917.279626,2755008.9617560003,2761437.816349,2765108.3239940004,2767878.7389150006
MODIS_1_IGBP,,,,,,,,,,,,,,,,,1217154.9999790003,1237867.1137,1214080.717625,1243276.1352740002,1246005.4960570005,1219549.587233,1191472.648019,1197072.0970369997,1231945.0509580001,1206268.2686060003,1184128.8284050003,1171056.6529199996,1214340.7784070002,1218033.0019369998,1210422.71174,1215157.000959,1222794.6686019998,1236141.0793890003,1217536.5950749998,1214645.894095,1219696.5793879998,
MODIS_2_UMD,,,,,,,,,,,,,,,,,1227207.257822,1244088.1950740004,1220176.435274,1249340.2725270002,1251921.2940950003,1225047.7970369998,1196998.6176230002,1202686.6568409998,1237794.247035,1212212.3039000004,1189926.7715430004,1176878.037232,1220309.1460570002,1223925.3411529996,1216250.833309,1221213.0274289998,1228970.629389,1242220.1411560003,1223629.2166429998,1220364.8980170002,1225438.4901730001,
MODIS_3_LAI,,,,,,,,,,,,,,,,,1227207.257822,1244088.1950740004,1220176.435274,1249340.2725270002,1251921.2940950003,1225047.7970369998,1196998.6176230002,1202686.6568409998,1237794.247035,1212212.3039000004,1189926.7715430004,1176878.037232,1220309.1460570002,1223925.3411529996,1216250.833309,1221213.0274289998,1228970.629389,1242220.1411560003,1223629.2166429998,1220364.8980170002,1225438.4901730001,
